iter	Passed	Remaining
0	1	109
1	1	64
2	1	49
3	1	41
4	1	36
5	2	32
6	2	30
7	2	28
8	2	27
9	2	25
10	3	24
11	3	23
12	3	23
13	3	23
14	4	22
15	4	22
16	4	21
17	4	20
18	4	20
19	4	19
20	5	19
21	5	19
22	5	19
23	5	18
24	6	18
25	6	17
26	6	17
27	6	17
28	6	16
29	7	16
30	7	16
31	7	16
32	8	16
33	8	16
34	9	17
35	9	17
36	9	16
37	10	16
38	10	16
39	10	16
40	11	16
41	11	15
42	11	15
43	11	15
44	12	14
45	12	14
46	12	14
47	12	13
48	13	13
49	13	13
50	13	12
51	13	12
52	13	12
53	14	11
54	14	11
55	14	11
56	15	11
57	15	11
58	15	10
59	15	10
60	15	10
61	15	9
62	16	9
63	16	9
64	16	8
65	16	8
66	16	8
67	16	7
68	17	7
69	17	7
70	17	7
71	17	6
72	17	6
73	18	6
74	18	6
75	18	5
76	18	5
77	19	5
78	19	5
79	19	4
80	19	4
81	20	4
82	20	4
83	20	3
84	20	3
85	21	3
86	21	3
87	21	2
88	21	2
89	22	2
90	22	2
91	22	1
92	23	1
93	23	1
94	23	1
95	24	1
96	24	0
97	24	0
98	25	0
99	25	0
