iter	MultiClass
0	1.320479955
1	1.255339821
2	1.201114563
3	1.156616449
4	1.118604755
5	1.083605527
6	1.061153616
7	1.034383902
8	1.013415864
9	0.9957572818
10	0.9717950818
11	0.9553323942
12	0.9389831933
13	0.9247305291
14	0.9121665035
15	0.8943376296
16	0.8821106416
17	0.873078012
18	0.8629975968
19	0.8560151412
20	0.8498272848
21	0.8314278232
22	0.8264627298
23	0.8217003235
24	0.8174531743
25	0.8143515589
26	0.8108220986
27	0.8044586057
28	0.79580403
29	0.7933389601
30	0.790171996
31	0.7861745376
32	0.7828012342
33	0.7812433045
34	0.7786209754
35	0.7767995964
36	0.7751522506
37	0.7628225904
38	0.756727236
39	0.7554538656
40	0.753326275
41	0.7517823814
42	0.7331451622
43	0.7322500168
44	0.7293668403
45	0.7267083216
46	0.7237380758
47	0.7208298829
48	0.7185448996
49	0.7180048245
50	0.7135092605
51	0.711468633
52	0.7077116696
53	0.6902598558
54	0.6899172626
55	0.6787106384
56	0.6755240793
57	0.6654754908
58	0.657921189
59	0.6544450655
60	0.6478326524
61	0.6392424194
62	0.6326037002
63	0.6298962846
64	0.6202357314
65	0.6137882867
66	0.6089643446
67	0.6018599503
68	0.5962828038
69	0.5905719131
70	0.5834045038
71	0.5763400556
72	0.5703696658
73	0.5666631168
74	0.5589899245
75	0.5538047738
76	0.544842763
77	0.5399168508
78	0.5371685342
79	0.5298281618
80	0.5256730086
81	0.5210410358
82	0.5149748525
83	0.5105495557
84	0.5087621282
85	0.5017048501
86	0.4988790855
87	0.4960103682
88	0.4913075546
89	0.4895502579
90	0.4866062125
91	0.4833788787
92	0.4785456031
93	0.4748109077
94	0.4728675443
95	0.467629435
96	0.464025327
97	0.4592050925
98	0.4553655888
99	0.4527181862
100	0.4509413034
101	0.4469872619
102	0.4439767937
103	0.4416653129
104	0.4367926741
105	0.4355947147
106	0.4331190574
107	0.4308532009
108	0.4291456257
109	0.4275529724
110	0.4248912756
111	0.4230538486
112	0.4183054483
113	0.4166809014
114	0.4150532075
115	0.4119942081
116	0.4110064596
117	0.4076597322
118	0.4057451885
119	0.4032019576
120	0.4005300504
121	0.3985207953
122	0.3970546223
123	0.394219477
124	0.392664651
125	0.3912435417
126	0.3883100213
127	0.3863723045
128	0.3856549125
129	0.3833251037
130	0.3816419627
131	0.3794649579
132	0.379031956
133	0.37759546
134	0.3761208081
135	0.374349946
136	0.3734847083
137	0.3720571293
138	0.3704539686
139	0.3689230221
140	0.3682166288
141	0.3673207162
142	0.3660563556
143	0.3638534477
144	0.361441548
145	0.3601958945
146	0.3585234005
147	0.3565844884
148	0.3544353744
149	0.3540481251
150	0.3520670255
151	0.3503956379
152	0.3485376746
153	0.3470669549
154	0.3454458617
155	0.3437105406
156	0.3421715465
157	0.3410590907
158	0.3397398353
159	0.3387943866
160	0.3378276376
161	0.3354284347
162	0.3337733717
163	0.3328479446
164	0.3302660286
165	0.3283022302
166	0.3260321874
167	0.3250760686
168	0.3244134057
169	0.3232594808
170	0.3220593082
171	0.3213801746
172	0.3206832613
173	0.3200342911
174	0.3191215317
175	0.3187134915
176	0.3184187239
177	0.3176536712
178	0.3172705933
179	0.3165842094
180	0.3158225389
181	0.3151423212
182	0.3146948916
183	0.3144548597
184	0.3139174148
185	0.311928407
186	0.3104117668
187	0.3093474272
188	0.3085374676
189	0.3072952327
190	0.3069056628
191	0.3058917353
192	0.3043650019
193	0.3031452942
194	0.3025942335
195	0.3018509853
196	0.3014204309
197	0.3008153654
198	0.2999694545
199	0.2982211438
200	0.2965322757
201	0.2938167239
202	0.2935320287
203	0.292871295
204	0.29146369
205	0.2909874326
206	0.2902963229
207	0.28889253
208	0.2869966656
209	0.2860389999
210	0.2849010987
211	0.2836627243
212	0.2824376402
213	0.2813497651
214	0.2807293635
215	0.2799983298
216	0.2783283826
217	0.2773090814
218	0.2772357221
219	0.2762402986
220	0.2756647239
221	0.2747591515
222	0.274434029
223	0.2730627622
224	0.2723085664
225	0.2710081652
226	0.2701647806
227	0.2689520792
228	0.2678321193
229	0.2664654506
230	0.2660610173
231	0.2655453402
232	0.2640805574
233	0.2633118856
234	0.2625540996
235	0.2618984906
236	0.2615734099
237	0.2612498351
238	0.2606301382
239	0.2598498994
240	0.2589167979
241	0.258619384
242	0.258009816
243	0.2573742134
244	0.2570528355
245	0.2564476314
246	0.2562538853
247	0.2558104362
248	0.2545190912
249	0.2541349752
250	0.2537759058
251	0.2531405421
252	0.2524876347
253	0.2515032805
254	0.2512184165
255	0.2507106428
256	0.2497976099
257	0.2495661234
258	0.249345973
259	0.2488113108
260	0.2477296128
261	0.2474822165
262	0.2467176282
263	0.2461804229
264	0.2457358269
265	0.2449719955
266	0.2442113094
267	0.2436250202
268	0.2430309216
269	0.2424582039
270	0.2410355722
271	0.2403272817
272	0.2400107331
273	0.2388485989
274	0.2385086712
275	0.2383598078
276	0.2378698529
277	0.2373856995
278	0.236460273
279	0.2363243819
280	0.236033183
281	0.2355605968
282	0.2352737562
283	0.2348717613
284	0.2340967591
285	0.2338881724
286	0.2336969748
287	0.2328000594
288	0.2325970732
289	0.2323636862
290	0.2320646273
291	0.231602699
292	0.2308370008
293	0.2306621368
294	0.2303199494
295	0.2298916895
296	0.2290289967
297	0.2287644324
298	0.2282505844
299	0.2274713305
300	0.2270588882
301	0.2268651447
302	0.2262516696
303	0.2257524037
304	0.2256963005
305	0.2247797959
306	0.2243374328
307	0.2237825885
308	0.2233655012
309	0.2232318667
310	0.2224893777
311	0.2211363135
312	0.2205778268
313	0.2202116475
314	0.2187374971
315	0.2185531022
316	0.217992323
317	0.2176666218
318	0.2174501085
319	0.2172810468
320	0.2169376322
321	0.216690189
322	0.2161119997
323	0.2157764057
324	0.2151587953
325	0.2149987797
326	0.2143806591
327	0.2138769571
328	0.2132483242
329	0.2130091956
330	0.2129042099
331	0.2123639959
332	0.2120601802
333	0.2119416384
334	0.2113417609
335	0.2110651227
336	0.2104623249
337	0.2099982921
338	0.2097898654
339	0.2095458516
340	0.2090964891
341	0.2089723634
342	0.2085178034
343	0.2080057086
344	0.2077302383
345	0.2074623586
346	0.2071722509
347	0.2063453338
348	0.2054836079
349	0.20531522
350	0.2050871928
351	0.2048963071
352	0.2046780823
353	0.2045014202
354	0.2041455104
355	0.2039134379
356	0.2036375415
357	0.2030084013
358	0.2023684312
359	0.2020960905
360	0.2013358799
361	0.2006682673
362	0.1997784651
363	0.1990896898
364	0.1984423441
365	0.198104149
366	0.1975978901
367	0.1969983927
368	0.1964914006
369	0.1962495844
370	0.1958777112
371	0.1957564088
372	0.1954456925
373	0.1946737273
374	0.1944116795
375	0.1939063088
376	0.1934794662
377	0.1932899025
378	0.1927711945
379	0.1925486876
380	0.1919720454
381	0.1914599855
382	0.1912327991
383	0.190951236
384	0.1904580069
385	0.1902776048
386	0.1901366523
387	0.1898946127
388	0.1897417593
389	0.1894797262
390	0.1885762643
391	0.1880022625
392	0.187661417
393	0.1872418908
394	0.1870645224
