iter	Passed	Remaining
0	0	13
1	0	11
2	0	12
3	0	12
4	0	12
5	0	11
6	0	11
7	0	11
8	1	11
9	1	10
10	1	11
11	1	10
12	1	10
13	1	10
14	1	11
15	2	10
16	2	10
17	2	10
18	2	10
19	2	10
20	2	10
21	3	10
22	3	10
23	3	10
24	3	10
25	3	10
26	4	12
27	4	11
28	4	11
29	4	11
30	4	11
31	5	10
32	5	10
33	5	10
34	5	10
35	5	9
36	5	9
37	5	9
38	5	9
39	6	9
40	6	8
41	6	8
42	6	8
43	6	8
44	6	7
45	6	7
46	6	7
47	6	7
48	6	7
49	6	6
50	6	6
51	7	6
52	7	6
53	7	6
54	7	6
55	7	5
56	7	5
57	7	5
58	7	5
59	7	5
60	7	5
61	8	4
62	8	4
63	8	4
64	8	4
65	8	4
66	8	4
67	8	4
68	8	3
69	8	3
70	9	3
71	9	3
72	9	3
73	10	3
74	10	3
75	10	3
76	10	3
77	10	2
78	10	2
79	10	2
80	10	2
81	10	2
82	10	2
83	11	2
84	11	1
85	11	1
86	11	1
87	11	1
88	11	1
89	11	1
90	11	1
91	11	1
92	12	0
93	12	0
94	12	0
95	12	0
96	12	0
97	12	0
98	13	0
99	13	0
