iter	RMSE
0	0.3468578531
1	0.3450636876
2	0.3434411722
3	0.3419745499
4	0.3406493931
5	0.3394525112
6	0.3383718623
7	0.3373964675
8	0.336516329
9	0.3357223523
10	0.3350062734
11	0.3343605894
12	0.3337784945
13	0.3332538196
14	0.3327809769
15	0.332354908
16	0.3319710369
17	0.3316252257
18	0.3313137343
19	0.3310331841
20	0.3307805239
21	0.3305529992
22	0.3303481242
23	0.330163656
24	0.3299975717
25	0.3298480471
26	0.3297134375
27	0.3295922602
28	0.3294831792
29	0.3293849903
30	0.3292966087
31	0.3292170571
32	0.329145455
33	0.3290810097
34	0.3290230069
35	0.3289708036
36	0.3289238207
37	0.3288815368
38	0.3288434824
39	0.3288092348
40	0.3287784137
41	0.3287506764
42	0.3287257147
43	0.3287032509
44	0.3286830352
45	0.3286648429
46	0.3286484714
47	0.3286337385
48	0.3286204805
49	0.3286085495
50	0.328597813
51	0.3285881512
52	0.3285794568
53	0.3285716327
54	0.328564592
55	0.3285582562
56	0.3285525547
57	0.3285474241
58	0.3285428071
59	0.3285386524
60	0.3285349138
61	0.3285315494
62	0.328528522
63	0.3285257976
64	0.3285233461
65	0.32852114
66	0.3285191548
67	0.3285173684
68	0.3285157609
69	0.3285143144
70	0.3285130127
71	0.3285118413
72	0.3285107872
73	0.3285098387
74	0.3285089852
75	0.3285082171
76	0.3285075259
77	0.328506904
78	0.3285063443
79	0.3285058407
80	0.3285053875
81	0.3285049797
82	0.3285046127
83	0.3285042824
84	0.3285039853
85	0.3285037179
86	0.3285034772
87	0.3285032607
88	0.3285030659
89	0.3285028905
90	0.3285027327
91	0.3285025908
92	0.328502463
93	0.328502348
94	0.3285022446
95	0.3285021515
96	0.3285020677
97	0.3285019923
98	0.3285019245
99	0.3285018634
100	0.3285018085
101	0.3285017591
102	0.3285017146
103	0.3285016745
104	0.3285016385
105	0.3285016061
106	0.3285015769
107	0.3285015507
108	0.3285015271
109	0.3285015058
110	0.3285014867
111	0.3285014695
112	0.328501454
113	0.3285014401
114	0.3285014275
115	0.3285014163
116	0.3285014061
117	0.328501397
118	0.3285013887
119	0.3285013813
120	0.3285013747
121	0.3285013687
122	0.3285013633
123	0.3285013584
124	0.3285013541
125	0.3285013502
126	0.3285013466
127	0.3285013434
128	0.3285013406
129	0.328501338
130	0.3285013357
131	0.3285013336
132	0.3285013317
133	0.32850133
134	0.3285013285
135	0.3285013271
136	0.3285013259
137	0.3285013248
138	0.3285013238
139	0.3285013229
140	0.3285013221
141	0.3285013214
142	0.3285013207
143	0.3285013201
144	0.3285013196
145	0.3285013191
146	0.3285013187
147	0.3285013183
148	0.328501318
149	0.3285013177
150	0.3285013174
