iter	Passed	Remaining
0	0	286
1	0	227
2	0	201
3	1	187
4	1	177
5	1	177
6	1	173
7	1	169
8	2	168
9	2	163
10	2	158
11	2	155
12	2	151
13	2	151
14	3	156
15	3	157
16	3	155
17	3	154
18	4	155
19	4	157
20	4	164
21	5	165
22	5	166
23	5	169
24	6	170
25	6	172
26	6	172
27	6	173
28	7	173
29	7	173
30	7	172
31	7	172
32	8	174
33	8	174
34	8	174
35	9	174
36	9	174
37	9	173
38	9	173
39	10	173
40	10	173
41	10	173
42	10	173
43	11	172
44	11	172
45	11	173
46	11	173
47	12	173
48	12	174
49	12	173
50	13	173
51	13	174
52	13	174
53	13	173
54	14	173
55	14	173
56	14	174
57	15	174
58	15	174
59	15	174
60	15	174
61	16	174
62	16	173
63	16	173
64	16	173
65	17	173
66	17	173
67	17	173
68	18	173
69	18	172
70	18	172
71	18	171
72	18	170
73	19	170
74	19	170
75	19	171
76	20	171
77	20	172
78	20	171
79	21	171
80	21	171
81	21	171
82	22	171
83	22	172
84	22	172
85	22	172
86	23	172
87	23	173
88	24	173
89	24	173
90	24	173
91	25	173
92	25	173
93	25	173
94	25	172
95	26	172
96	26	172
97	26	171
98	26	172
99	27	172
100	27	172
101	27	171
102	28	171
103	28	171
104	28	172
105	29	172
106	29	171
107	29	172
108	30	172
109	30	172
110	30	172
111	31	172
112	31	171
113	31	171
114	31	170
115	32	170
116	32	170
117	32	170
118	33	170
119	33	170
120	33	170
121	34	170
122	34	170
123	34	169
124	34	169
125	35	169
126	35	168
127	35	168
128	36	169
129	36	169
130	36	168
131	37	169
132	37	169
133	37	168
134	38	168
135	38	168
136	38	167
137	39	167
138	39	167
139	39	167
140	39	166
141	40	166
142	40	166
143	40	166
144	41	166
145	41	165
146	41	165
147	41	164
148	42	164
149	42	164
150	42	164
151	43	164
152	43	164
153	43	163
154	44	163
155	44	163
156	44	163
157	44	163
158	45	162
159	45	162
160	45	161
161	45	161
162	46	161
163	46	161
164	46	160
165	47	160
166	47	160
167	47	159
168	48	159
169	48	159
170	48	159
171	49	159
172	49	158
173	49	158
174	49	158
175	50	158
176	50	157
177	50	157
178	50	157
179	51	157
180	51	157
181	52	157
182	52	156
183	52	156
184	52	156
185	53	156
186	53	156
187	53	155
188	54	155
189	54	155
190	54	154
191	55	154
192	55	154
193	55	153
194	55	153
195	56	153
196	56	153
197	56	153
198	57	152
199	57	152
200	57	152
201	57	151
202	58	151
203	58	150
204	58	150
205	58	150
206	59	149
207	59	149
208	59	148
209	59	148
210	60	148
211	60	147
212	60	147
213	60	147
214	61	146
215	61	146
216	61	146
217	61	145
218	62	145
219	62	145
220	62	144
221	62	144
222	63	144
223	63	143
224	63	143
225	64	143
226	64	143
227	64	142
228	64	142
229	65	141
230	65	141
231	65	141
232	65	140
233	66	140
234	66	140
235	66	139
236	66	139
237	67	138
238	67	138
239	67	138
240	67	137
241	68	137
242	68	137
243	68	136
244	68	136
245	69	136
246	69	135
247	69	135
248	69	134
249	69	134
250	70	134
251	70	133
252	70	133
253	71	133
254	71	133
255	71	133
256	71	132
257	72	132
258	72	132
259	72	131
260	72	131
261	73	131
262	73	130
263	73	130
264	74	130
265	74	129
266	74	129
267	74	129
268	75	128
269	75	128
270	75	128
271	75	128
272	76	127
273	76	127
274	76	127
275	76	126
276	77	126
277	77	126
278	77	125
279	77	125
280	78	125
281	78	124
282	78	124
283	78	124
284	79	123
285	79	123
286	79	123
287	79	122
288	79	122
289	80	122
290	80	121
291	80	121
292	81	121
293	81	121
294	81	121
295	82	120
296	82	120
297	82	120
298	82	119
299	83	119
300	83	119
301	83	118
302	83	118
303	84	118
304	84	117
305	84	117
306	84	117
307	85	116
308	85	116
309	85	116
310	85	116
311	86	115
312	86	115
313	86	115
314	86	114
315	87	114
316	87	114
317	87	114
318	88	113
319	88	113
320	88	113
321	88	113
322	89	112
323	89	112
324	89	112
325	90	111
326	90	111
327	90	111
328	91	111
329	91	111
330	91	110
331	91	110
332	92	110
333	92	109
334	92	109
335	92	109
336	93	108
337	93	108
338	93	108
339	93	108
340	94	107
341	94	107
342	94	107
343	94	106
344	95	106
345	95	106
346	95	106
347	96	105
348	96	105
349	96	105
350	97	105
351	97	104
352	97	104
353	98	104
354	98	104
355	98	104
356	99	103
357	99	103
358	99	103
359	99	102
360	100	102
361	100	102
362	100	102
363	100	101
364	101	101
365	101	101
366	101	100
367	101	100
368	102	100
369	102	100
370	102	99
371	103	99
372	103	99
373	103	98
374	103	98
375	104	98
376	104	97
377	104	97
378	104	97
379	105	97
380	105	96
381	105	96
382	105	96
383	106	95
384	106	95
385	106	95
386	106	95
387	107	94
388	107	94
389	107	94
390	108	93
391	108	93
392	108	93
393	109	93
394	109	93
395	109	92
396	109	92
397	110	92
398	110	91
399	110	91
400	110	91
401	111	91
402	111	90
403	111	90
404	112	90
405	112	89
406	112	89
407	112	89
408	113	89
409	113	88
410	113	88
411	114	88
412	114	88
413	114	87
414	114	87
415	115	87
416	115	86
417	115	86
418	116	86
419	116	86
420	116	85
421	116	85
422	117	85
423	117	85
424	117	84
425	117	84
426	118	84
427	118	83
428	118	83
429	119	83
430	119	83
431	119	82
432	119	82
433	119	82
434	120	81
435	120	81
436	120	81
437	120	80
438	121	80
439	121	80
440	121	80
441	121	79
442	122	79
443	122	79
444	122	78
445	123	78
446	123	78
447	123	78
448	123	77
449	124	77
450	124	77
451	124	76
452	124	76
453	125	76
454	125	76
455	125	75
456	126	75
457	126	75
458	126	75
459	127	74
460	127	74
461	127	74
462	127	74
463	128	73
464	128	73
465	128	73
466	129	73
467	129	72
468	129	72
469	130	72
470	130	71
471	130	71
472	130	71
473	131	71
474	131	70
475	131	70
476	132	70
477	132	70
478	132	69
479	133	69
480	133	69
481	133	68
482	133	68
483	134	68
