iter	MultiClass
0	1.09219432
1	1.088408171
2	1.084516059
3	1.08165746
4	1.076283063
5	1.072725024
6	1.068455373
7	1.06411968
8	1.061604908
9	1.057424559
10	1.054054502
11	1.049169356
12	1.045715178
13	1.041945267
14	1.035063855
15	1.033914067
16	1.029017966
17	1.02572167
18	1.020394165
19	1.017290103
20	1.015779425
21	1.009872076
22	1.002604095
23	0.9967273606
24	0.9927026984
25	0.9843071208
26	0.9809581452
27	0.9756470686
28	0.9706204391
29	0.9634597956
30	0.9580703364
31	0.9537145058
32	0.9447459897
33	0.937467718
34	0.9307045844
35	0.926475985
36	0.9214386523
37	0.9170623672
38	0.9105924482
39	0.906608202
40	0.8994915556
41	0.894810608
42	0.8885555782
43	0.8843842377
44	0.875838552
45	0.8698944859
46	0.8644831566
47	0.8579894281
48	0.8537298395
49	0.8430852789
50	0.8389952048
51	0.830648137
52	0.8264058793
53	0.8215252316
54	0.8150615032
55	0.8035913361
56	0.7873949108
57	0.7826471956
58	0.7750668099
59	0.7690962611
60	0.7616322772
61	0.7549599342
62	0.74806981
63	0.7449268406
64	0.7391835465
65	0.7249448297
66	0.7199694363
67	0.7127103195
68	0.7058811838
69	0.7017311691
70	0.6973445627
71	0.6908223503
72	0.6865799873
73	0.6738382985
74	0.6703334885
75	0.6641663281
76	0.6611308373
77	0.655088609
78	0.6491294197
79	0.6444756406
80	0.6397073788
81	0.6351171126
82	0.6310996569
83	0.6286949452
84	0.6226693815
85	0.6170302906
86	0.6114916665
87	0.6079866893
88	0.6039462872
89	0.59866467
90	0.5944678591
91	0.5908601871
92	0.5883446543
93	0.5851280807
94	0.5800921612
95	0.5755849174
96	0.5728029337
97	0.5684455438
98	0.5656230246
99	0.5625898682
100	0.5591413345
101	0.5544422288
102	0.5516478948
103	0.5487754556
104	0.5462800312
105	0.5429128086
106	0.5392967206
107	0.5365933648
108	0.5344715293
109	0.5305519746
110	0.5280428163
111	0.5234729209
112	0.5206752827
113	0.5181142503
114	0.5160962437
115	0.5138478843
116	0.5096666286
117	0.5064325235
118	0.5039019858
119	0.5017532543
120	0.4983202179
121	0.4964082915
122	0.4939571974
123	0.4915333995
124	0.4892282504
125	0.4866615967
126	0.4836553769
127	0.4809722334
128	0.4775593496
129	0.4745985285
130	0.4713019767
131	0.4677046968
132	0.4651233594
133	0.4631327192
134	0.4596363345
135	0.4564669276
136	0.4550007474
137	0.4523583428
138	0.4489259057
139	0.4468586751
140	0.443512763
141	0.4413149447
142	0.4383672009
143	0.4358236269
144	0.4343707888
145	0.4330165443
146	0.4304661157
147	0.4288572622
148	0.4269121024
149	0.4222897736
150	0.4208204518
151	0.4192230795
152	0.417434734
153	0.4144710178
154	0.4127818929
155	0.4104413021
156	0.4086197995
157	0.4068414147
158	0.4051672566
159	0.4023191576
160	0.400322295
161	0.3991355187
162	0.3969183365
163	0.3947554663
164	0.3916169868
165	0.3896811506
166	0.3875595737
167	0.3849365122
168	0.3832287774
169	0.3818983999
170	0.3802786027
171	0.379030117
172	0.3767741957
173	0.3755939169
174	0.3731138336
175	0.3718535823
176	0.3701597117
177	0.3685575316
178	0.3669873172
179	0.3657406935
180	0.3638516479
181	0.3619356203
182	0.3596901015
183	0.3586950227
184	0.357346728
185	0.3550925537
186	0.3539508849
187	0.3521370995
188	0.3511849732
189	0.3502593396
190	0.3490797804
191	0.3472929144
192	0.346393018
193	0.3447843001
194	0.3436607911
195	0.3424669534
196	0.3411969165
197	0.3401197661
198	0.338821054
199	0.3374923274
200	0.3358417621
201	0.3348954157
202	0.3336883275
203	0.3328814697
204	0.3308282105
205	0.3292112785
206	0.3280648613
207	0.3269775954
208	0.3254140214
209	0.3238639971
210	0.3226573971
211	0.3209964453
212	0.3201749456
213	0.3192498418
214	0.3180371096
215	0.3160183553
216	0.3147921439
217	0.3136647888
218	0.3122005605
219	0.3108286088
220	0.3097579083
221	0.3084537548
222	0.3073694853
223	0.3063754389
224	0.3054064006
225	0.3043360333
226	0.3032080569
227	0.3020621191
228	0.3008079277
229	0.2995744377
230	0.2977744173
231	0.2963259448
232	0.2953793873
233	0.2944840928
234	0.2936144083
235	0.2922925775
236	0.290985114
237	0.2898664847
238	0.2885966838
239	0.2870837988
240	0.2863476532
241	0.285336033
242	0.284664348
243	0.2837866181
244	0.2825622825
245	0.2813893844
246	0.280013177
247	0.2790169145
248	0.2775001341
249	0.2766659102
250	0.2757475412
251	0.2749374445
252	0.2740293558
253	0.2732476652
254	0.2726241723
255	0.2711871895
256	0.2697640607
257	0.2686967916
258	0.2679201276
259	0.2670696132
260	0.265677891
261	0.2650103712
262	0.2642320862
263	0.2634573761
264	0.2623643821
265	0.2618482144
266	0.2610584916
267	0.2602087617
268	0.25935709
269	0.2585937817
270	0.2575880861
271	0.256281661
272	0.2555683915
273	0.2546804924
274	0.2538076284
275	0.2525408677
276	0.2517562828
277	0.2508752451
278	0.2500542162
279	0.2494078517
280	0.2487467329
281	0.2479975016
282	0.2473217604
283	0.2466152646
284	0.2459310346
285	0.2452513832
286	0.2447177365
287	0.243530221
288	0.2428066646
289	0.2420578416
290	0.2414654736
291	0.2406300694
292	0.2399523811
293	0.2388058827
294	0.2383465327
295	0.23795433
296	0.2374200786
297	0.2366774226
298	0.2359970874
299	0.2354553425
300	0.2350067063
301	0.2342974644
302	0.233874343
303	0.2333467751
304	0.2328135192
305	0.2322055814
306	0.2310212854
307	0.2304651889
308	0.2293982997
309	0.2284466048
310	0.2279298948
311	0.2270875082
312	0.2265382473
313	0.2259189099
314	0.2252223715
315	0.2245074463
316	0.2236946444
317	0.2232547717
318	0.2228064191
319	0.2222781266
320	0.2217316891
321	0.2212690045
322	0.2206355339
323	0.2202343831
324	0.2194353531
325	0.2188137575
326	0.2177837883
327	0.2171420596
328	0.2167028548
329	0.216287033
330	0.2157984457
331	0.2153018684
332	0.214818499
333	0.214261212
334	0.2137720779
335	0.213173186
336	0.2126070785
337	0.2120948361
338	0.2117346976
339	0.2113235678
340	0.2107876065
341	0.2101432891
342	0.2092009978
343	0.2086591718
344	0.2079795942
345	0.2074046553
346	0.2070736711
347	0.2065384912
348	0.2060173187
349	0.2054439749
350	0.2049468508
351	0.2043868383
352	0.2040302988
353	0.2036340407
354	0.2031146037
355	0.201909612
356	0.2015198481
357	0.2009631382
358	0.2002520335
359	0.1995112776
360	0.1989474096
361	0.1981166628
362	0.1976202003
363	0.1971618861
364	0.1963386283
365	0.1958709762
366	0.195381174
367	0.1949101052
368	0.1944036346
369	0.1938356357
370	0.1934652204
371	0.1930187005
372	0.1926294287
373	0.1921557824
374	0.1915317209
375	0.1910842983
376	0.1903223029
377	0.1899093853
378	0.1893073627
379	0.18882034
380	0.1882036278
381	0.1878807706
382	0.1875181683
383	0.1869701999
384	0.1865295715
385	0.1861550873
386	0.1854247944
387	0.1851407216
388	0.1844032281
389	0.1841253541
390	0.1838396181
391	0.1833778231
392	0.1830329481
393	0.1826607633
394	0.1822950923
395	0.1819084657
396	0.1814560207
397	0.1810262449
398	0.1807045772
399	0.1802612125
400	0.1799090107
401	0.1795836104
402	0.1792052509
403	0.1787509556
404	0.1782571487
405	0.1777136778
406	0.1773208994
407	0.1770343422
408	0.1765456084
409	0.1761806218
410	0.1757414392
411	0.1753823976
412	0.1750387318
413	0.1743891707
414	0.1740304466
415	0.1733878832
416	0.1730573923
417	0.1724369219
418	0.1720120699
419	0.1713799281
420	0.171120268
421	0.1707802032
422	0.1703187702
423	0.1700701512
424	0.1696244325
425	0.1693374827
426	0.169084038
427	0.1687040373
428	0.1682446975
429	0.1679027008
430	0.1675428587
431	0.1672177506
432	0.1668522435
433	0.1665128687
434	0.1662838224
435	0.1656925673
436	0.1652410363
437	0.1649965401
438	0.1647626073
439	0.1641813287
440	0.1639500316
441	0.1636983177
442	0.1632681376
443	0.1629830472
444	0.1627045552
445	0.1624570768
446	0.1621803483
447	0.1618963788
448	0.1614485118
