iter	Passed	Remaining
0	0	304
1	1	244
2	1	221
3	1	209
4	2	205
5	2	205
6	3	205
7	3	199
8	3	195
9	4	191
10	4	187
11	5	187
12	5	187
13	5	187
14	6	186
15	6	186
16	7	185
17	7	186
18	8	186
19	8	186
20	9	186
21	10	203
22	10	202
23	11	203
24	11	202
25	12	202
26	12	201
27	13	200
28	13	199
29	14	199
30	14	198
31	15	197
32	15	197
33	16	196
34	16	194
35	17	196
36	17	195
37	17	194
38	18	193
39	18	192
40	19	191
41	19	191
42	20	190
43	20	189
44	21	189
45	21	189
46	21	188
47	22	188
48	23	188
49	23	189
50	24	188
51	24	187
52	24	186
53	25	186
54	25	186
55	26	185
56	26	183
57	27	183
58	27	183
59	28	182
60	28	181
61	28	181
62	29	181
63	29	180
64	30	180
65	30	179
66	31	179
67	31	178
68	31	177
69	32	176
70	32	175
71	33	175
72	33	174
73	34	174
74	34	173
75	34	172
76	35	171
77	35	170
78	35	169
79	36	168
80	36	168
81	37	167
82	37	167
83	38	166
84	38	166
85	38	164
86	39	164
87	39	164
88	40	163
89	40	162
90	41	162
91	41	161
92	41	161
93	42	161
94	42	160
95	43	160
96	43	160
97	44	159
98	44	158
99	45	158
100	45	158
101	46	157
102	46	157
103	46	156
104	47	156
105	47	155
106	48	155
107	48	155
108	49	154
109	49	153
110	50	153
111	50	152
112	50	152
113	51	151
114	51	151
115	52	150
116	52	150
117	53	149
118	53	149
119	54	149
120	54	149
121	55	150
122	56	150
123	56	149
124	57	149
125	57	148
126	58	148
127	58	148
128	59	148
129	59	147
130	60	148
131	61	148
132	61	147
133	62	147
134	62	146
135	63	145
136	63	145
137	64	146
138	64	145
139	65	144
140	65	143
141	65	143
142	66	143
143	66	142
144	67	142
145	67	141
146	68	141
147	68	140
148	69	140
149	69	139
150	70	139
151	70	138
152	71	138
153	71	137
154	71	137
155	72	137
156	72	136
157	73	136
158	73	135
159	74	134
160	74	134
161	75	134
162	75	133
163	76	133
164	76	132
165	77	132
166	77	131
167	77	131
168	78	130
169	78	130
170	79	129
171	79	129
172	80	128
173	80	128
174	81	127
175	81	127
176	81	126
177	82	126
178	82	125
179	83	125
180	83	125
181	84	124
182	84	124
183	85	123
184	85	123
185	86	122
186	86	122
187	87	122
188	87	121
189	88	121
190	88	120
191	90	121
192	90	121
193	91	120
194	91	120
195	92	119
196	92	119
197	93	118
198	93	118
199	93	117
200	94	117
201	94	117
202	95	116
203	95	116
204	96	115
205	96	115
206	97	114
207	97	114
208	98	113
209	98	113
210	98	112
211	99	112
212	99	111
213	100	111
214	101	111
215	101	110
216	102	110
217	102	109
218	103	109
219	104	109
220	104	108
221	105	108
222	105	108
223	106	107
224	106	107
225	107	106
226	107	106
227	108	106
228	109	106
229	109	105
230	110	105
231	110	104
232	111	104
233	111	103
234	112	103
235	112	102
236	113	102
237	113	101
238	113	101
239	114	100
240	114	100
241	115	99
242	115	99
243	116	98
244	116	98
245	117	98
246	118	97
247	118	97
248	119	96
249	119	96
250	120	95
251	120	95
252	121	94
253	121	94
254	121	93
255	122	93
256	122	92
257	123	92
258	123	91
259	124	91
260	124	90
261	124	90
262	125	89
263	125	89
264	126	88
265	126	88
266	127	88
267	128	87
268	128	87
269	129	86
270	129	86
271	130	85
272	130	85
273	130	84
274	131	84
275	131	83
276	132	83
277	132	82
278	133	82
279	133	81
280	133	81
281	134	80
282	135	80
283	135	79
284	136	79
285	136	78
286	137	78
287	137	77
288	138	77
289	138	76
290	139	76
291	139	75
292	140	75
293	140	75
294	140	74
295	141	74
296	141	73
297	142	73
298	142	72
299	143	72
300	143	71
301	144	71
302	144	70
303	145	70
304	145	69
305	146	69
306	146	68
307	147	68
308	147	67
309	147	67
310	148	66
311	152	68
312	153	67
313	153	67
314	154	66
315	154	66
316	155	65
317	155	65
318	156	64
319	156	64
320	157	63
321	157	63
322	158	62
323	158	62
324	159	61
325	159	61
326	160	60
327	160	60
328	161	59
329	161	59
330	162	58
331	162	58
332	163	57
333	163	57
334	164	56
335	164	56
336	165	55
337	165	55
338	166	55
339	167	54
340	168	54
341	168	53
342	169	53
343	169	52
344	169	52
345	170	51
346	171	51
347	171	50
348	171	50
349	172	49
350	172	49
351	173	48
352	174	48
353	174	47
354	175	47
355	175	46
356	176	46
357	176	45
358	177	45
359	177	44
360	178	44
361	178	43
362	179	43
363	179	42
364	180	42
365	180	41
366	181	41
367	181	40
368	183	40
369	184	40
370	184	39
371	185	39
372	185	38
373	186	38
374	186	37
375	187	37
376	187	36
377	188	36
378	188	35
379	189	35
380	189	34
381	190	34
382	190	33
383	191	33
384	191	32
385	192	32
386	192	31
387	192	31
388	193	30
389	193	30
390	194	29
391	194	29
392	195	28
393	195	28
394	195	27
395	196	27
396	196	26
397	197	26
398	197	25
399	198	25
400	198	24
401	199	24
402	199	23
403	200	23
404	200	22
405	201	22
406	201	21
407	202	21
408	202	20
409	203	20
410	203	19
411	204	19
412	204	18
413	205	18
414	205	17
415	205	17
416	206	16
417	206	16
418	207	15
419	207	15
420	208	14
421	208	14
422	209	13
423	209	13
424	210	12
425	210	12
426	211	11
427	211	11
428	212	10
429	213	10
430	213	9
431	214	9
432	214	8
433	215	8
434	215	7
435	215	7
436	216	6
437	217	6
438	217	5
439	218	5
440	218	4
441	219	4
442	219	3
443	219	3
444	220	2
445	220	2
446	221	1
447	221	1
448	222	0
449	222	0
450	223	0
